Expt,x,SiO2,Al2O3,Na2O,K2O,CaO,TiO2
SpDis3,13.9,62.39,9.3,2.62,3.05,9.3,13.15
SpDis3,21.4,62.47,9.4,2.65,3.17,9.24,12.8
SpDis3,28.9,62.85,9.37,2.71,3.19,9.12,12.53
SpDis3,36.5,63.16,9.53,2.64,3.29,8.89,12.31
SpDis3,44,63.19,9.76,2.65,3.32,8.75,12.23
SpDis3,51.5,63.59,9.69,2.68,3.26,8.56,11.96
SpDis3,59,63.88,9.82,2.68,3.33,8.42,11.69
SpDis3,66.5,64.36,9.76,2.67,3.36,8.29,11.39
SpDis3,74.1,64.62,9.93,2.69,3.42,8.23,10.98
SpDis3,81.6,64.91,9.97,2.75,3.4,8.06,10.73
SpDis3,89.1,65.26,10.09,2.7,3.39,7.99,10.47
SpDis3,96.6,65.38,10.13,2.71,3.49,7.84,10.31
SpDis3,104.1,65.94,10.17,2.73,3.56,7.66,9.84
SpDis3,111.7,66.23,10.24,2.71,3.51,7.47,9.73
SpDis3,119.2,66.51,10.4,2.72,3.64,7.33,9.32
SpDis3,126.7,66.74,10.45,2.67,3.58,7.31,9.09
SpDis3,134.2,67.01,10.49,2.76,3.64,7.02,8.93
SpDis3,141.7,67.31,10.5,2.73,3.64,6.93,8.76
SpDis3,149.3,67.64,10.62,2.71,3.62,6.8,8.44
SpDis3,156.8,67.88,10.7,2.77,3.7,6.64,8.23
SpDis3,164.3,68.13,10.7,2.72,3.78,6.51,8.05
SpDis3,171.8,68.32,10.85,2.78,3.77,6.4,7.69
SpDis3,179.3,68.65,10.85,2.83,3.8,6.24,7.5
SpDis3,186.9,68.92,11.02,2.77,3.84,6.11,7.26
SpDis3,194.4,69.17,10.94,2.82,3.82,6.03,7.11
SpDis3,201.9,69.44,10.98,2.8,3.89,5.97,6.87
SpDis3,209.4,69.54,11.14,2.8,3.9,5.81,6.7
SpDis3,216.9,69.72,11.22,2.85,3.96,5.71,6.45
SpDis3,224.5,70.02,11.15,2.87,4.03,5.64,6.21
SpDis3,232,70.35,11.2,2.92,4,5.47,6.02
SpDis3,239.5,70.52,11.34,2.86,4.05,5.35,5.82
SpDis3,247,70.53,11.38,2.88,4.03,5.35,5.71
SpDis3,254.5,70.87,11.49,2.85,4.03,5.27,5.41
SpDis3,262.1,71,11.51,2.88,4.07,5.11,5.35
SpDis3,269.6,71.05,11.65,2.85,4.16,5.05,5.17
SpDis3,277.1,71.44,11.61,2.82,4.16,4.99,4.9
SpDis3,284.6,71.37,11.6,2.89,4.16,4.94,4.83
SpDis3,292.1,71.26,11.95,2.94,4.18,4.8,4.77
SpDis3,299.7,71.67,11.71,2.84,4.22,4.79,4.66
SpDis3,307.2,71.91,11.7,2.85,4.18,4.69,4.5
